run_id,debate_role,initial_stance_proxy,final_stance_proxy,stance_proxy_delta,initial_stance_sign,final_stance_sign,stance_flip,turns_in_group
run_20260208_233447,proponent,0.0,0.0,0.0,0,0,0,5
run_20260208_234249,moderator,2.0,2.0,0.0,1,1,0,3
run_20260208_234249,proponent,0.0,0.0,0.0,0,0,0,3
run_20260208_235331,moderator,2.0,2.0,0.0,1,1,0,5
run_20260208_235331,proponent,0.0,0.0,0.0,0,0,0,5
run_20260209_000422,moderator,2.0,4.0,2.0,1,1,0,5
run_20260209_000422,proponent,0.0,1.0,1.0,0,1,0,5
run_20260209_001549,moderator,0.0,1.0,1.0,0,1,0,5
run_20260209_001549,proponent,0.0,0.0,0.0,0,0,0,5
run_20260209_002606,moderator,-1.0,2.0,3.0,-1,1,1,5
run_20260209_002606,proponent,0.0,0.0,0.0,0,0,0,5
run_20260209_003339,moderator,-1.0,0.0,1.0,-1,0,0,4
run_20260209_003339,opponent,-0.0,1.0,1.0,0,1,0,4
run_20260209_004319,moderator,-1.0,0.0,1.0,-1,0,0,5
run_20260209_004319,opponent,-0.0,1.0,1.0,0,1,0,5
run_20260209_005159,moderator,2.0,2.0,0.0,1,1,0,5
run_20260209_005159,opponent,-0.0,1.0,1.0,0,1,0,5
run_20260209_005727,moderator,2.0,0.0,-2.0,1,0,0,3
run_20260209_005727,opponent,-0.0,-0.0,0.0,0,0,0,3
run_20260209_010259,moderator,3.0,1.0,-2.0,1,1,0,3
run_20260209_010259,opponent,-0.0,-0.0,0.0,0,0,0,3
run_20260209_011246,moderator,1.0,1.0,0.0,1,1,0,5
run_20260209_011246,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260209_012111,moderator,1.0,0.0,-1.0,1,0,0,5
run_20260209_012111,opponent,-1.0,-0.0,1.0,-1,0,0,5
run_20260209_012644,moderator,2.0,2.0,0.0,1,1,0,3
run_20260209_012644,opponent,-1.0,-0.0,1.0,-1,0,0,3
run_20260209_013459,moderator,2.0,0.0,-2.0,1,0,0,4
run_20260209_013459,opponent,-0.0,-0.0,0.0,0,0,0,4
run_20260209_014052,moderator,1.0,1.0,0.0,1,1,0,3
run_20260209_014052,opponent,-0.0,-0.0,0.0,0,0,0,3
run_20260209_015011,moderator,1.0,1.0,0.0,1,1,0,5
run_20260209_015011,opponent,-0.0,1.0,1.0,0,1,0,5
run_20260209_015734,moderator,1.0,3.0,2.0,1,1,0,4
run_20260209_015734,opponent,1.0,-0.0,-1.0,1,0,0,4
run_20260209_020547,moderator,1.0,0.0,-1.0,1,0,0,4
run_20260209_020547,opponent,-0.0,1.0,1.0,0,1,0,4
run_20260209_021456,moderator,3.0,4.0,1.0,1,1,0,5
run_20260209_021456,opponent,1.0,-0.0,-1.0,1,0,0,5
run_20260209_022434,moderator,1.0,1.0,0.0,1,1,0,5
run_20260209_022434,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260209_023022,moderator,0.0,1.0,1.0,0,1,0,3
run_20260209_023022,opponent,-0.0,-0.0,0.0,0,0,0,3
run_20260209_023906,moderator,2.0,2.0,0.0,1,1,0,5
run_20260209_023906,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260209_024743,moderator,1.0,2.0,1.0,1,1,0,5
run_20260209_024743,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260209_025602,moderator,1.0,1.0,0.0,1,1,0,5
run_20260209_025602,opponent,-1.0,-0.0,1.0,-1,0,0,5
run_20260209_030331,moderator,1.0,0.0,-1.0,1,0,0,4
run_20260209_030331,opponent,-0.0,-0.0,0.0,0,0,0,4
run_20260209_031020,proponent,0.0,0.0,0.0,0,0,0,3
run_20260209_032052,proponent,0.0,0.0,0.0,0,0,0,4
run_20260209_033256,proponent,0.0,1.0,1.0,0,1,0,5
run_20260209_034539,proponent,0.0,0.0,0.0,0,0,0,6
run_20260209_035703,proponent,0.0,0.0,0.0,0,0,0,5
run_20260209_040419,proponent,-1.0,-1.0,0.0,-1,-1,0,3
run_20260209_041334,proponent,0.0,-1.0,-1.0,0,-1,0,5
run_20260209_042417,proponent,1.0,0.0,-1.0,1,0,0,5
run_20260209_043103,proponent,0.0,0.0,0.0,0,0,0,3
run_20260209_044155,proponent,0.0,-1.0,-1.0,0,-1,0,5
run_20260209_045507,proponent,0.0,-1.0,-1.0,0,-1,0,5
run_20260209_050410,proponent,0.0,0.0,0.0,0,0,0,4
run_20260209_051337,proponent,0.0,0.0,0.0,0,0,0,4
run_20260209_052413,proponent,0.0,0.0,0.0,0,0,0,5
run_20260209_053539,proponent,0.0,0.0,0.0,0,0,0,5
run_20260209_054231,proponent,0.0,-1.0,-1.0,0,-1,0,3
run_20260209_055141,proponent,0.0,0.0,0.0,0,0,0,4
