debate_role,stage,metric,mean,ci_low,ci_high,n
opponent,middle,novelty_vs_prev_turn_lexical,0.8416542937747731,0.8238377643796777,0.8572266420024838,101
opponent,middle,novelty_vs_prev_turn_semantic,0.3296228042351195,0.3071654495139087,0.3508038128710715,101
opponent,middle,novelty_vs_prev_opponent_turn_lexical,0.8416542937747731,0.8249441989660489,0.859118219227795,101
opponent,middle,novelty_vs_prev_opponent_turn_semantic,0.3296228042351195,0.3056424241954731,0.35052960961747814,101
opponent,opening,confidence,50.574803149606296,50.267716535433074,50.85826771653543,127
opponent,opening,confidence_delta_within_role,0.48936170212765956,-0.06382978723404255,0.9787234042553191,47
opponent,opening,word_count,37.826771653543304,36.55885826771654,39.13405511811023,127
opponent,opening,avg_sentence_length,31.12992125984252,29.834448818897638,32.35492125984252,127
opponent,opening,lemma_type_token_ratio,0.9691918064962652,0.96167782129278,0.9756406552334634,127
opponent,opening,vader_compound,-0.06941259842519687,-0.1578651181102362,0.014722913385826744,127
opponent,opening,evidence_density_per_1k_words,32.36024835143291,28.5813139484136,36.88899027252709,127
opponent,opening,rebuttal_density_per_1k_words,1.550150764499363,0.4855892064725306,2.8106878198038734,127
opponent,opening,hedge_density_per_1k_words,3.5638742171010853,2.169439858609437,5.314102268572435,127
opponent,opening,assertive_density_per_1k_words,0.18311664530305805,0.0,0.5493499359091741,127
opponent,opening,strong_modal_density_per_1k_words,0.0,0.0,0.0,127
opponent,opening,weak_modal_density_per_1k_words,0.0,0.0,0.0,127
opponent,opening,moral_density_per_1k_words,4.492669357678882,4.320286663507747,4.649235498700936,127
opponent,opening,stance_proxy_score,0.05511811023622047,-0.031496062992125984,0.14173228346456693,127
opponent,opening,assertiveness_balance,-0.0033807575717980268,-0.005142877868969914,-0.0017385483597904148,127
opponent,opening,modality_balance,0.0,0.0,0.0,127
opponent,opening,lexical_overlap_prev_other_turn,0.15300021923146667,0.1411035101766532,0.16532009216509638,127
opponent,opening,semantic_similarity_prev_other_turn,0.6956912520815316,0.6775150237555547,0.7132865301524681,127
opponent,opening,lexical_overlap_prev_opponent_turn,0.15300021923146667,0.14088601224478162,0.16555400653783772,127
opponent,opening,semantic_similarity_prev_opponent_turn,0.6956912520815316,0.675472517876921,0.7134137012587379,127
opponent,opening,novelty_vs_prev_turn_lexical,0.8469997807685336,0.8352352787225202,0.8591715895076861,127
opponent,opening,novelty_vs_prev_turn_semantic,0.30430874791846846,0.2872681016315902,0.32321467299516266,127
opponent,opening,novelty_vs_prev_opponent_turn_lexical,0.8469997807685336,0.8351121878545171,0.8584021117065057,127
opponent,opening,novelty_vs_prev_opponent_turn_semantic,0.30430874791846846,0.28680730014654077,0.3232527691156621,127
proponent,closing,confidence,47.0625,44.75,49.825,80
proponent,closing,confidence_delta_within_role,-2.6,-4.175,-0.6871875000000003,80
proponent,closing,word_count,37.5875,36.111875,39.313125,80
proponent,closing,avg_sentence_length,36.57083333333333,35.078854166666666,37.92552083333333,80
proponent,closing,lemma_type_token_ratio,0.9836757130068381,0.9784486304532483,0.9886444951620262,80
proponent,closing,vader_compound,0.1524175,0.051301062500000015,0.25834375000000004,80
proponent,closing,evidence_density_per_1k_words,13.215626724831262,9.023036050482448,18.229200294558485,80
proponent,closing,rebuttal_density_per_1k_words,1.273346106937438,0.2450980392156863,2.572662277093391,80
proponent,closing,hedge_density_per_1k_words,3.3839928157984334,1.5388631146903213,5.5526962418306125,80
proponent,closing,assertive_density_per_1k_words,0.3472222222222222,0.0,1.0416666666666667,80
proponent,closing,strong_modal_density_per_1k_words,0.0,0.0,0.0,80
proponent,closing,weak_modal_density_per_1k_words,0.0,0.0,0.0,80
proponent,closing,moral_density_per_1k_words,4.667940985118378,4.411823585541053,4.997526014558187,80
proponent,closing,stance_proxy_score,-0.25,-0.3878124999999997,-0.1125,80
proponent,closing,assertiveness_balance,-0.003036770593576211,-0.005139662278245178,-0.0009991098212363697,80
proponent,closing,modality_balance,0.0,0.0,0.0,80
proponent,closing,lexical_overlap_prev_other_turn,0.06381191165222877,0.05753912300707519,0.06930268779460459,80
proponent,closing,semantic_similarity_prev_other_turn,0.5560465417128333,0.536475756959899,0.5764880746046481,80
proponent,closing,lexical_overlap_prev_opponent_turn,0.06137646343962727,0.052071995806616374,0.07090917963108452,80
proponent,closing,semantic_similarity_prev_opponent_turn,0.5199562422321253,0.4907399015851766,0.5506560329720631,80
proponent,closing,novelty_vs_prev_turn_lexical,0.9339343570044877,0.9266785584187075,0.9408117396775082,80
proponent,closing,novelty_vs_prev_turn_semantic,0.4421558577609332,0.4233785263044838,0.4611174522286229,80
proponent,closing,novelty_vs_prev_opponent_turn_lexical,0.9386235365603728,0.9286131832010244,0.9488760888489247,80
proponent,closing,novelty_vs_prev_opponent_turn_semantic,0.4800437577678747,0.45197423623437427,0.5088930799725133,80
proponent,middle,confidence,50.18939393939394,48.88636363636363,51.53787878787879,132
proponent,middle,confidence_delta_within_role,-1.75,-2.6893939393939394,-0.7801136363636365,132
