run_id,model_name,debate_role,initial_stance_proxy,final_stance_proxy,stance_proxy_delta,initial_stance_sign,final_stance_sign,stance_flip,turns_in_group
run_20260208_141220,dolphin-yi-34b,opponent,-0.0,-0.0,0.0,0,0,0,4
run_20260208_141220,dolphin-yi-34b,proponent,0.0,0.0,0.0,0,0,0,4
run_20260208_141839,dolphin-yi-34b,moderator,-1.0,-1.0,0.0,-1,-1,0,4
run_20260208_141839,dolphin-yi-34b,opponent,1.0,-0.0,-1.0,1,0,0,4
run_20260208_141839,dolphin-yi-34b,proponent,0.0,0.0,0.0,0,0,0,4
run_20260208_142834,dolphin-yi-34b,moderator,0.0,0.0,0.0,0,0,0,5
run_20260208_142834,dolphin-yi-34b,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260208_142834,dolphin-yi-34b,proponent,0.0,0.0,0.0,0,0,0,5
run_20260208_143453,dolphin-yi-34b,moderator,0.0,0.0,0.0,0,0,0,4
run_20260208_143453,dolphin-yi-34b,opponent,-0.0,-0.0,0.0,0,0,0,4
run_20260208_143453,dolphin-yi-34b,proponent,0.0,0.0,0.0,0,0,0,4
run_20260208_144330,dolphin-yi-34b,moderator,0.0,1.0,1.0,0,1,0,5
run_20260208_144330,dolphin-yi-34b,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260208_144330,dolphin-yi-34b,proponent,0.0,0.0,0.0,0,0,0,5
run_20260208_145332,dolphin-yi-34b,moderator,0.0,1.0,1.0,0,1,0,5
run_20260208_145332,dolphin-yi-34b,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260208_145332,dolphin-yi-34b,proponent,0.0,0.0,0.0,0,0,0,5
run_20260208_150311,dolphin-yi-34b,moderator,0.0,-1.0,-1.0,0,-1,0,4
run_20260208_150311,dolphin-yi-34b,opponent,-0.0,-1.0,-1.0,0,-1,0,4
run_20260208_150311,dolphin-yi-34b,proponent,0.0,0.0,0.0,0,0,0,4
run_20260208_151103,dolphin-yi-34b,moderator,0.0,0.0,0.0,0,0,0,4
run_20260208_151103,dolphin-yi-34b,opponent,1.0,1.0,0.0,1,1,0,4
run_20260208_151103,dolphin-yi-34b,proponent,0.0,0.0,0.0,0,0,0,4
run_20260208_151248,dolphin-yi-34b,opponent,1.0,1.0,0.0,1,1,0,1
run_20260208_151248,dolphin-yi-34b,proponent,0.0,0.0,0.0,0,0,0,1
run_20260208_151248,gemma3:27b,moderator,1.0,1.0,0.0,1,1,0,1
run_20260208_151440,dolphin-yi-34b,opponent,-0.0,-0.0,0.0,0,0,0,1
run_20260208_151440,dolphin-yi-34b,proponent,0.0,0.0,0.0,0,0,0,1
run_20260208_151440,gemma3:27b,moderator,1.0,1.0,0.0,1,1,0,1
run_20260208_151945,dolphin-yi-34b,opponent,-0.0,-0.0,0.0,0,0,0,3
run_20260208_151945,dolphin-yi-34b,proponent,0.0,0.0,0.0,0,0,0,3
run_20260208_151945,gemma3:27b,moderator,1.0,0.0,-1.0,1,0,0,3
run_20260208_152953,dolphin-yi-34b,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260208_152953,dolphin-yi-34b,proponent,0.0,0.0,0.0,0,0,0,5
run_20260208_152953,gemma3:27b,moderator,1.0,1.0,0.0,1,1,0,5
run_20260208_153335,dolphin-yi-34b,opponent,-0.0,-0.0,0.0,0,0,0,2
run_20260208_153335,dolphin-yi-34b,proponent,0.0,0.0,0.0,0,0,0,2
run_20260208_153335,gemma3:27b,moderator,1.0,6.0,5.0,1,1,0,2
run_20260208_153540,dolphin-yi-34b,opponent,-0.0,-0.0,0.0,0,0,0,1
run_20260208_153540,dolphin-yi-34b,proponent,0.0,0.0,0.0,0,0,0,1
run_20260208_153540,gemma3:27b,moderator,1.0,1.0,0.0,1,1,0,1
run_20260208_154538,dolphin-yi-34b,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260208_154538,dolphin-yi-34b,proponent,0.0,0.0,0.0,0,0,0,5
run_20260208_154538,gemma3:27b,moderator,2.0,1.0,-1.0,1,1,0,5
run_20260208_155117,dolphin-yi-34b,opponent,-0.0,-0.0,0.0,0,0,0,3
run_20260208_155117,dolphin-yi-34b,proponent,0.0,0.0,0.0,0,0,0,3
run_20260208_155117,gemma3:27b,moderator,0.0,0.0,0.0,0,0,0,3
run_20260208_160144,dolphin-yi-34b,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260208_160144,dolphin-yi-34b,proponent,0.0,0.0,0.0,0,0,0,5
run_20260208_160144,gemma3:27b,moderator,0.0,1.0,1.0,0,1,0,5
run_20260208_161212,dolphin-yi-34b,opponent,-1.0,-1.0,0.0,-1,-1,0,5
run_20260208_161212,dolphin-yi-34b,proponent,0.0,0.0,0.0,0,0,0,5
run_20260208_161212,gemma3:27b,moderator,1.0,1.0,0.0,1,1,0,5
