debate_role,stage,metric,mean,ci_low,ci_high,n
proponent,closing,vader_compound,0.11903918918918915,0.02050743243243246,0.22440797297297294,74
proponent,closing,evidence_density_per_1k_words,16.16077962743059,9.707311800965053,23.921571599695337,74
proponent,closing,rebuttal_density_per_1k_words,1.8204178690894794,0.0,4.037805535393554,74
proponent,closing,hedge_density_per_1k_words,2.433162967128695,0.3142677561282212,5.214579060394541,74
proponent,closing,assertive_density_per_1k_words,0.0,0.0,0.0,74
proponent,closing,strong_modal_density_per_1k_words,0.0,0.0,0.0,74
proponent,closing,weak_modal_density_per_1k_words,0.0,0.0,0.0,74
proponent,closing,moral_density_per_1k_words,8.268730239823682,7.637062035213694,8.93065881174135,74
proponent,closing,stance_proxy_score,0.02702702702702703,-0.02702702702702703,0.08108108108108109,74
proponent,closing,assertiveness_balance,-0.002433162967128693,-0.005230559506875294,-0.0003142677561282203,74
proponent,closing,modality_balance,0.0,0.0,0.0,74
proponent,closing,lexical_overlap_prev_other_turn,0.11033570992493232,0.09857366990937881,0.1242884677656875,74
proponent,closing,semantic_similarity_prev_other_turn,0.6178825963889394,0.5936745176234436,0.64082795182479,74
proponent,closing,lexical_overlap_prev_opponent_turn,0.19838473064953738,0.1689071270163593,0.23270263065326655,74
proponent,closing,semantic_similarity_prev_opponent_turn,0.6756790847948168,0.6423308974045109,0.7086042161729778,74
proponent,closing,novelty_vs_prev_turn_lexical,0.8896642900750678,0.877146085622172,0.9020725030890842,74
proponent,closing,novelty_vs_prev_turn_semantic,0.38211740361106056,0.35905390328503484,0.4078127648552451,74
proponent,closing,novelty_vs_prev_opponent_turn_lexical,0.8016152693504626,0.7701169932258973,0.8322432504868477,74
proponent,closing,novelty_vs_prev_opponent_turn_semantic,0.32432091520518336,0.2929039647440846,0.35793801909218625,74
proponent,middle,confidence,51.55652173913043,50.469565217391306,52.6695652173913,115
proponent,middle,confidence_delta_within_role,-3.3391304347826085,-3.9304347826086956,-2.799782608695652,115
proponent,middle,word_count,21.46086956521739,20.225869565217394,22.84369565217391,115
proponent,middle,avg_sentence_length,19.549275362318845,18.69402173913043,20.452173913043477,115
proponent,middle,lemma_type_token_ratio,0.9919183698748916,0.9853258376687726,0.9971401817787687,115
proponent,middle,vader_compound,0.06775565217391305,-0.02295639130434776,0.15432584782608696,115
proponent,middle,evidence_density_per_1k_words,13.181079263251362,7.930112231293854,19.057544193561537,115
proponent,middle,rebuttal_density_per_1k_words,1.742690058479532,0.41545893719806765,3.4599542334096105,115
proponent,middle,hedge_density_per_1k_words,3.2869340251048382,1.1407199625993456,5.933202571646507,115
proponent,middle,assertive_density_per_1k_words,0.0,0.0,0.0,115
proponent,middle,strong_modal_density_per_1k_words,0.0,0.0,0.0,115
proponent,middle,weak_modal_density_per_1k_words,0.0,0.0,0.0,115
proponent,middle,moral_density_per_1k_words,8.420066520122056,7.7825407846327135,9.044286552425904,115
